Id,Category
HW00007556,2
HW00003881,7
HW00003622,6
HW00004970,8
HW00000496,1
HW00004271,1
HW00003631,4
HW00002219,4
HW00001029,1
HW00003739,7
HW00007317,5
HW00002827,1
HW00004853,0
HW00005050,8
HW00005094,1
HW00002521,3
HW00002339,9
HW00005042,1
HW00001688,6
HW00001958,5
HW00002754,9
HW00002711,0
HW00006095,4
HW00006299,6
HW00007288,4
HW00005314,2
HW00002428,7
HW00007385,7
HW00001766,5
HW00006483,7
HW00004663,6
HW00007166,2
HW00002874,7
HW00007804,7
HW00003473,6
HW00003388,8
HW00000923,6
HW00000602,9
HW00005328,2
HW00000214,9
HW00002208,0
HW00002776,3
HW00001891,7
HW00007005,6
HW00003661,9
HW00002805,0
HW00000133,2
HW00003015,4
HW00004308,7
HW00004850,0
HW00004240,6
HW00007936,1
HW00007265,9
HW00001788,2
HW00003815,7
HW00000441,6
HW00004261,6
HW00001316,6
HW00004488,6
HW00007891,9
HW00002581,8
HW00002044,9
HW00000294,6
HW00004534,8
HW00004097,8
HW00002031,5
HW00005456,8
HW00007080,8
HW00003434,3
HW00000974,2
HW00000090,4
HW00002130,0
HW00004167,9
HW00006478,0
HW00004053,7
HW00007650,6
HW00005568,4
HW00005571,9
HW00007746,5
HW00006263,6
HW00006012,2
HW00007611,4
HW00003270,1
HW00004596,4
HW00001867,9
HW00000891,3
HW00000875,4
HW00006463,7
HW00004732,2
HW00001347,7
HW00004246,0
HW00004731,0
HW00001039,4
HW00001011,7
HW00004619,4
HW00001695,0
HW00005554,7
HW00002584,2
HW00002543,6
HW00000567,9
HW00004503,4
HW00000126,0
HW00000286,9
HW00004618,7
HW00002419,0
HW00004151,0
HW00001237,2
HW00005330,7
HW00004242,9
HW00005701,2
HW00000073,7
HW00000387,5
HW00005192,6
HW00001127,4
HW00007035,1
HW00003960,5
HW00003172,0
HW00001693,2
HW00003420,8
HW00004739,4
HW00006368,0
HW00007316,6
HW00005559,6
HW00001175,7
HW00005329,1
HW00003337,9
HW00001944,4
HW00001377,2
HW00004738,4
HW00006941,0
HW00000620,4
HW00003834,0
HW00007602,4
HW00003525,6
HW00004201,1
HW00005383,6
HW00006549,4
HW00004566,2
HW00000912,4
HW00002963,2
HW00000434,0
HW00006152,2
HW00003978,2
HW00002171,6
HW00006369,9
HW00006462,6
HW00005503,9
HW00003360,7
HW00007308,4
HW00006032,6
HW00005111,9
HW00005105,0
HW00007374,5
HW00006347,3
HW00005499,4
HW00007112,1
HW00001792,2
HW00003970,6
HW00004126,6
HW00000916,4
HW00000996,8
HW00007808,6
HW00007563,6
HW00004340,3
HW00003489,4
HW00002214,0
HW00005316,2
HW00005567,9
HW00001869,0
HW00006619,6
HW00004076,7
HW00000832,9
HW00003110,9
HW00000454,4
HW00000955,0
HW00007571,9
HW00004476,6
HW00007063,6
HW00006248,9
HW00001772,5
HW00005639,6
HW00003163,0
HW00004737,4
HW00006477,0
HW00004218,4
HW00006439,4
HW00004077,6
HW00006469,1
HW00006151,6
HW00000714,0
HW00003613,2
HW00005744,8
HW00000911,4
HW00007099,0
HW00002567,1
HW00000402,2
HW00001738,4
HW00005977,6
HW00002645,7
HW00005603,2
HW00004973,0
